S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
80,IITM,NoteShare,,They are developing an online platform to help students with their preparation by providing easy access to quality content.,Technology,Software & Computer Services,Edu-Tech,,B2C,Collaborative Learning,Notes sharing,,,,Incubation,Online courses and resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,IITM,KTZCapitals,,They educate people about sentimental analysis as people are now more skewed towards short term gains rather than long term profits.,Financials,Financial services,Edu-Tech,Not required,B2C,Skill development,,,,,Business Plan,Placement and Employment related services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,IITM,Scout,,The startup whose application will provide necessary information to all final year students of all departments about short term courses available as per their major along with location and address of the centers.,Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Skill development,,,Chennai,Tamil Nadu,Business Plan,Placement and Employment related services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,IITM,RingBucket,, The startup that gives customers the cheapest price of all products and bookings available online from different websites at a single place with a link to go to the respective product page of the ecommerce website.,Technology,Software & Computer Services,Social Platforms,Not required,B2C,Compares prices and quality of all products,,,,,,Website for information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,IITM,Rebhu,,"It develops a desktop virtualisation platform which can be used by average and above performance PC enthusiasts, designers, developers, and IoT enthusiasts.",Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Skill development,,,,,Prototype,Placement and Employment related services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,IITM,PVR Ecofriendly solutions,,The main objective of this project is to overcome the social issue & difficulties of drainage cleaner.,Technology,Technology Hardware & Equipment,Consumer Products and Services,Not required,B2C,Helps drainage workers,,,,,Prototype,Home Improvement Retailers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,IITM,Real Tycoon,,"Real Tycoon is a combination of a real estate agency and a media agency, where clients are served with properties by understanding their business requirements.",Industrials,Industrial goods and services,Real Estate,,B2B,Agents for business requirements,,,,,,"Buy , Rent and Sell Property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,IITM,Smart Way,,"The device is a traffic light preemption system. The device is designed in such a way that, the operation of traffic lights changes has and when an ambulance approaches.",Healthcare,Healthcare,Health-Tech,Not required,B2B,First aid and emergency medical services,,,,,Business Plan,Telemedicine and Online health care platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,IITM,STEP,,Start up that produces bags which are eco-friendly and biodegradable.,Consumer_goods,personal and household goods,Consumer Products and Services,Clean Technology,B2C,Biodegradable bags,Eco-friendly,,,,Protoype,Clothing & Accessories,,Eco-friendly ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,IITM,Square Comp,,It produces virtual reality headsets which allows to recreate the environments through the mobile apps to create a virtual world.,Consumer_goods,personal and household goods,Software and Internet Services,Not required,B2C,Virtual Reality platform,,,,,Protoype,Software services for consumers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,IITM,Zero Emission Auto,,The startup aims to build a vehicle that would run completely on renewable energy resources and which will have good environmental impacts .,Consumer_goods,automobile and parts,Clean Technology,Not required,B2C,Environment friendly ,Vehicle,,,,Business Plan,Renewable energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,IITM,VRKT Enterprises,,The aim of the product is to increase the productivity and to reduce the cleaning time. It will reduce the machine damage and increase the safety of the labors and machine.,Consumer_goods,automobile and parts,Consumer Products and Services,Not required,B2B,Cleaning products,,,,,Prototype,Home Improvement Retailers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,IITM,SSKRN Home appliances,,The aim of the project is to develop the device which performs both dry and wet cleaning simultaneously.,Consumer_goods,personal and household goods,Consumer Products and Services,Not required,B2C,Cleaning products,,,,,Prototype,Home Improvement Retailers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,IITM,Stopoverevents.in,,The platform works as an aggregator for all social and corporate event needs.,Consumer_services,Retail,Consumer Products and Services,Not required,B2C,Event planner,,,,,Protoype,Event Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,IITM,Technov,,"The platform which makes every disabled person walk, provide them a healthy life and to help them in being independent.",Consumer_goods,personal and household goods,Consumer Products and Services,Not required,B2C,Wheel chairs,,,,,Prototype,Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,IITM,StepOut,,"Stepout is a website and a mobile application to host, share and partake in events including competitions, festivals, shows and everything else pertaining to their respective interests.",Technology,Software & Computer Services,Consumer Products and Services,Not required,B2C,Event planner,Mobile app,,,,Business Plan,Event Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,IITM,Tny,,"The startup which aims to become OYO of Salons, Restaurants, GYMs and all other SME’s(Small and medium scale enterprises).",Technology,Software & Computer Services,Internet marketplace and eCommerce,,B2C,Online booking,,,,,Business Plan,Booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,IITM,NVKG Transportation solutions,, The startup aims to help the elderly people to get into the bus with ease without climbing consecutive stairs.,Consumer_goods,automobile and parts,Technology,Not required,B2C,Climbing stairs made easy,,,,,Prototype,Auto Tech & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,TCA,Empty mind,,,Consumer_services,Media,"Media, Advertising and Gaming",,,,,,Mumbai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,TCA,Voxta,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,TCA,sound waves entertainment,,,Technology,Technology Hardware & Equipment,Consumer Products and Services,,,,,,Mumbai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,TCA,RentRam internet,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,TCA,Vaishvik,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,Mumbai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,TCA,Zapluk,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,TCA,Fusion Mela,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,TCA,stroll up,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,TCA,Amigo Cabs,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,TCA,Davakhaana,,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,TCA,Enwitra Technologies,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,TCA,MoLappy,,,Technology,Technology Hardware & Equipment,Consumer Products and Services,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,TCA,Kisanyard Ecommerce,,,Basic_Materials,Basic resource,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,TCA,Helen DA,,,Technology,Technology Hardware & Equipment,Consumer Products and Services,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,TCA,Tamara Shoes,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,TCA,ISIRI Technologies,,,Healthcare,Healthcare,Health-Tech,,,,,,Mangaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,TCA,Fomokart,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,TCA,Wilderhood,,,Consumer_services,Travel and Leisure,Software and Internet Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,TCA,Bellissa Feminine Online,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,Noida,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,TCA,Magic FoodBox,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,New Delhi,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,TCA,Lumentrade,,,Consumer_services,Retail,Technology,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,TCA,Univibe,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,Mumbai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,TCA,SuperAntZ,,,Consumer_services,Retail,Consumer Products and Services,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,TCA,Neverwhine,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,TCA,Genie Solutions,,,Utilities,Utilities,Hyperlocal and Logistics,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,TCA,Lerema Emotion,,,Technology,Software & Computer Services,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,TCA,Gharwaalatiffin,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,TCA,Mac app Studio,,,Technology,Software & Computer Services,Technology,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,TCA,WOOBUS,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,TCA,Vaave,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,Hyderabad,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,TCA,SVPLASER TECHNOLOGIES,,,Basic_Materials,Basic resource,Others,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,TCA,AngelList,,,Utilities,Personal and household goods,Others,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,TCA,Cozilla,,,Financials,Real estate,Fin-Tech and Payments,,,,,,Pune,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,TCA,FreakoutZ,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,Hyderabad,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,TCA,Jamhub Software,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,TCA,Hirenodes,,,Consumer_services,Media,Others,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,TCA,Ultrastar Machines,,,Basic_Materials,Basic resource,Others,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,TCA,Studio Source,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,TCA,Just Like New,,,Consumer_goods,Automobile and parts,Consumer Products and Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,TCA,EDOCA,,,Technology,Technology Hardware & Equipment,Technology,,,,,,Tiruchirappalli,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,TCA,Rappio,,,Technology,Software & Computer Services,Technology,,,,,,Mumbai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,TCA,OrgBasket,,,Consumer_goods,Food and beverage,Others,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,TCA,Live Biking,,,Utilities,Utilities,Consumer Products and Services,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,TCA,AIDAIO Software,,,Technology,Software & Computer Services,Technology,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,TCA,TalkChalk,,,Consumer_services,Retail,Others,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,TCA,iSupport Farming,,,Basic_Materials,Basic resource,Others,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,TCA,Viveoli Retail,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,TCA,infooby,,,Consumer_services,Retail,Edu-Tech,,,,,,New Delhi,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,TCA,Monkvyasa,,,,Retail,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,TCA,Nature Fresh Travels,,,,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,TCA,FitPhilia Solutions,,,Healthcare,Healthcare,Health-Tech,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,TCA,Cozee Homes,,,Financials,Real estate,Fin-Tech and Payments,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,TCA,Marrily,,,,,,,,,,,Mumbai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,TCA,Humming Bird Education,,,Consumer_services,Retail,Consumer Products and Services,,,,,,New Delhi,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,TCA,Wedtree e store,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,TCA,vibcure,,,Healthcare,Healthcare,Health-Tech,,,,,,New Delhi,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,TCA,Brontoo technology,,,Financials,Financial services,Fin-Tech and Payments,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,TCA,Inthree Access Services  ,,,,,Hyperlocal and Logistics,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,TCA,Aponi Software,,,,,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,TCA,Directowners,,,Consumer_services,Retail,Fin-Tech and Payments,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,TCA,Process Bee,,,Consumer_services,Travel and Leisure,"Media, Advertising and Gaming",,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,TCA,Gvahealth,,,Healthcare,Healthcare,Health-Tech,,,,,,Bengaluru,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,TCA,Kshitij Education,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,TCA,Yuktha Entertainment,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,Hyderabad,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,TCA,Appiyo Technologies,,,Technology,Technology Hardware & Equipment,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,TCA,QwikPik Technology,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,Mumbai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,TCA,where2play Technologies,,,,Personal and household goods,Others,,,,,,Chennai,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
